year,circuitId,cicuitsRef,name,location,country,lat,lng,url
2019,ricard,190,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
2019,rodriguez,191,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
2019,shanghai,192,Shanghai International Circuit,Shanghai,China,31.3389,121.22,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
2019,silverstone,193,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,http://en.wikipedia.org/wiki/Silverstone_Circuit
2019,sochi,194,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,http://en.wikipedia.org/wiki/Sochi_Autodrom
2019,spa,195,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
2019,suzuka,196,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,http://en.wikipedia.org/wiki/Suzuka_Circuit
2019,villeneuve,197,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
2019,yas_marina,198,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
2020,bahrain,199,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
2020,catalunya,200,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
2020,hungaroring,201,Hungaroring,Budapest,Hungary,47.5789,19.2486,http://en.wikipedia.org/wiki/Hungaroring
2020,imola,202,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
2020,istanbul,203,Istanbul Park,Istanbul,Turkey,40.9517,29.405,http://en.wikipedia.org/wiki/Istanbul_Park
2020,monza,204,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
2020,mugello,205,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,http://en.wikipedia.org/wiki/Mugello_Circuit
2020,nurburgring,206,Nürburgring,Nürburg,Germany,50.3356,6.9475,http://en.wikipedia.org/wiki/N%C3%BCrburgring
2020,portimao,207,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,http://en.wikipedia.org/wiki/Algarve_International_Circuit
2020,red_bull_ring,208,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,http://en.wikipedia.org/wiki/Red_Bull_Ring
2020,silverstone,209,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,http://en.wikipedia.org/wiki/Silverstone_Circuit
2020,sochi,210,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,http://en.wikipedia.org/wiki/Sochi_Autodrom
2020,spa,211,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
2020,yas_marina,212,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
